dt-timestamp,dt-xPos,dt-yPos,dt-angle,dt-speed,dt-isMoving,dt-distance,dt-bump,dt-light,dt-action,pt-timestamp,pt-xPos,pt-yPos,pt-angle,pt-speed,pt-isMoving,pt-distance,pt-bump,pt-light,pt-action,operation
16274847350,0.0,0.0,0.0,31.28,False,40,False,45,#Forward,16274847352,-0.00326628,0.00479519,0.0,31.28,False,40,False,45,#Forward,Match
16274847360,0.278,0.0,0.0,31.28,True,43,False,45,#Forward,16274847357,0.27630113,-0.00120589,0.0,31.28,True,43,False,45,#Forward,Match
16274847370,0.556,0.0,0.0,31.28,True,46,False,45,#Forward,16274847367,0.55362172,0.00256402,0.0,31.28,True,46,False,45,#Forward,Match
16274847380,0.834,0.0,0.0,31.28,True,49,False,45,#Forward,16274847380,0.83552231,0.00258137,0.0,31.28,True,49,False,45,#Forward,Match
16274847390,1.112,0.0,0.0,31.28,True,52,False,45,#Forward,16274847388,1.11030933,0.00287106,0.0,31.28,True,52,False,45,#Forward,Match
16274847400,1.39,0.0,0.0,31.28,True,55,False,45,#Forward,16274847398,1.38853669,-0.00170668,0.0,31.28,True,55,False,45,#Forward,Match
16274847410,1.668,0.0,0.0,31.28,True,58,False,45,#Forward,16274847408,1.6695622,-0.00421755,0.0,31.28,True,58,False,45,#Forward,Match
16274847420,1.946,0.0,0.0,31.28,True,61,False,45,#Forward,16274847421,1.94298926,0.00438052,0.0,31.28,True,61,False,45,#Forward,Match
16274847430,2.224,0.0,0.0,31.28,True,64,False,45,#Forward,16274847431,2.22258738,-0.00042789,0.0,31.28,True,64,False,45,#Forward,Match
16274847440,2.502,0.0,0.0,31.28,True,67,False,45,#Forward,16274847443,2.49751239,-0.00309569,0.0,31.28,True,67,False,45,#Forward,Match
16274847450,2.78,0.0,0.0,31.28,True,70,False,45,#Forward,16274847448,2.77759816,0.00125179,0.0,31.28,True,70,False,45,#Forward,Match
16274847460,3.058,0.0,0.0,31.28,True,73,False,45,#Forward,16274847461,3.05683473,0.00141857,0.0,31.28,True,73,False,45,#Forward,Match
16274847470,3.336,0.0,0.0,31.28,True,76,False,45,#Forward,16274847471,3.33485155,-0.00449551,0.0,31.28,True,76,False,45,#Forward,Match
16274847480,3.614,0.0,0.0,31.28,True,79,False,45,#Forward,16274847482,3.60999955,0.00332542,0.0,31.28,True,79,False,45,#Forward,Match
16274847490,3.892,0.0,0.0,31.28,True,82,False,45,#Forward,16274847487,3.88910546,-0.0023181,0.0,31.28,True,82,False,45,#Forward,Match
16274847500,4.17,0.0,0.0,31.28,True,85,False,45,#Forward,16274847498,4.17060248,-0.00286424,0.0,31.28,True,85,False,45,#Forward,Match
16274847510,4.448,0.0,0.0,31.28,True,88,False,45,#Forward,16274847512,4.44992612,0.00414085,0.0,31.28,True,88,False,45,#Forward,Match
16274847520,4.726,0.0,0.0,31.28,True,91,False,45,#Forward,16274847518,4.72115476,-0.00234778,0.0,31.28,True,91,False,45,#Forward,Match
16274847530,5.004,0.0,0.0,31.28,True,94,False,45,#Forward,16274847527,5.00718674,-0.00322924,0.0,31.28,True,94,False,45,#Forward,Match
16274847540,5.282,0.0,0.0,31.28,True,97,False,45,#Forward,16274847538,5.28080974,-0.0011936,0.0,31.28,True,97,False,45,#Forward,Match
16274847550,5.56,0.0,0.0,31.28,True,100,False,45,#Forward,16274847548,5.55586853,0.00209801,0.0,31.28,True,100,False,45,#Forward,Match
16274847560,5.838,0.0,0.0,31.28,True,103,False,45,#Forward,16274847562,5.83708125,0.00310885,0.0,31.28,True,103,False,45,#Forward,Match
16274847570,6.116,0.0,0.0,31.28,True,106,False,45,#Forward,16274847569,6.11974155,0.00424346,0.0,31.28,True,106,False,45,#Forward,Match
16274847580,6.394,0.0,0.0,31.28,True,109,False,45,#Forward,16274847582,6.39080929,-0.00154987,0.0,31.28,True,109,False,45,#Forward,Match
16274847590,6.672,0.0,0.0,31.28,True,112,False,45,#Forward,16274847590,6.67541064,0.00456417,0.0,31.28,True,112,False,45,#Forward,Match
16274847600,6.95,0.0,0.0,31.28,True,115,False,45,#Forward,16274847599,6.94762797,0.00152199,0.0,31.28,True,115,False,45,#Forward,Match
16274847610,7.228,0.0,0.0,31.28,True,118,False,45,#Forward,16274847611,7.22571092,0.00474104,0.0,31.28,True,118,False,45,#Forward,Match
16274847620,7.506,0.0,0.0,31.28,True,121,False,45,#Forward,16274847621,7.50435225,0.00326226,0.0,31.28,True,121,False,45,#Forward,Match
16274847630,7.784,0.0,0.0,31.28,True,124,False,45,#Forward,16274847627,7.78758445,-0.00099889,0.0,31.28,True,124,False,45,#Forward,Match
